fen,tactical_label
rn1qkb1r/1pp1pppp/8/1N1p4/pPb1N1n1/2PPP3/P4PPP/R1BQKB1R w KQkq - 1 10,3
rn1qkbnr/pbp1ppp1/1pN5/7p/1P1p4/N5P1/P1PPPP1P/R1BQKB1R b KQkq - 2 6,3
r1b1kbnr/qppnpppp/8/p2p1P2/2P1PN2/1P6/P1QP2PP/RNB1KB1R b KQkq - 2 10,3
1rbqkb1r/1B4pp/2P1p2n/ppp2Q2/P3P3/1P4P1/2P2P1P/RNB1K1NR b KQk - 0 13,3
rnbqkb1r/1p1p4/2p1p1pp/pQ1n1P2/2P2P2/7P/PP1PPK2/RNB2BNR b - - 0 13,3
r4b1r/1pp1kppp/p1n4n/3ppq2/7P/1P1bPN2/PBPP2P1/RN1QKBR1 b Q - 0 11,3
rnb1kb1r/4pp1p/p2P3n/qp4p1/1Pp5/P2PPP1P/3KB1P1/RNBQ2NR w kq - 0 12,3
r1N1k1nr/ppp2p1p/6p1/3p2q1/1n6/1P4PP/PbPPPP1R/2RQKBN1 b kq - 0 11,3
3qkb1r/r1pppp1p/bpnQ3n/p5p1/3P4/N3P3/PPP1NPPP/R1BK1B1R w k - 6 9,3
1rbqkbnr/pppp3p/8/4pQ2/P1B5/N3P1Pp/1PPP1P1P/R1BK3R b - - 0 12,2
1rbqkbr1/1pp1ppp1/2n5/p2P3p/2p1P1n1/5P1N/PPQKB1PP/RNB4R b - - 0 10,3
r1bqk1nr/1pppb2p/p1n2p2/4p1p1/3P2P1/1PP1P2P/P3KP2/RNBQ1BNR b kq - 0 7,0
rnbqk1nr/2ppbp2/pp6/4P1pp/8/N1PP4/PP1KP1PP/R1BQ1BNR w kq - 0 7,0
1nbqkb1r/rQpppppn/7p/pB6/3P4/1P2P1P1/P1P2P1P/RNB1K1NR b KQk - 2 7,2
r1b3qr/1pp1pk1p/p1np1n1b/5pp1/4P1P1/P1N2P1P/1PPP4/RNBQKR2 b Q - 1 10,3
rn1q1bnr/1ppbk3/p2pp2p/5pP1/P4P2/N1P5/RP1PPNPR/2BQKB2 b - - 3 11,3
rnb1kbnr/1p1qp2p/p1p2pp1/3p4/P3PPP1/R1N4P/1PPPN1R1/2BQKB2 b kq - 1 10,3
r1b1kbr1/ppppq2p/n4ppn/4pP2/2P5/2NP4/PP1KP1PP/1RBQ1BNR w q - 0 8,2
1rbq1bnr/pp1pkpp1/7p/2p1p3/PP5P/2N2P2/2PBn1PR/R1Q1KBN1 w Q - 0 12,3
rnbqkbr1/3pp1p1/7p/p1p2p2/PpP2PB1/1P1P2P1/4PN1P/RNBQK1R1 b Q - 0 13,2
rn3knr/ppp1p2p/3q1p1b/3p2p1/2P1P1bP/2N2P2/PP1PQ1PR/R1B1KBN1 w Q - 3 8,3
rnbqk2r/3pb2p/p3p2n/1pp3B1/6PP/PP1P1N2/2P1PP2/RN1QKB1R w KQkq - 0 11,3
r1b1kb1r/p1ppqp1n/6pp/1pN1p3/Pn1P3N/1P5P/2P1PPP1/R1BQKB1R w KQkq - 2 10,3
1nbqk1nr/rpp1ppbp/p5Q1/3p2p1/4PP2/N6P/PPPP2P1/R1B1KBNR w KQk - 0 7,3
rnb2bnr/1p1kq1pp/3p1N2/p1p1p3/P2P2P1/5N2/1PP1PPBP/1RBQK2R b K - 0 10,1
rnb1kbnr/ppqp1p1p/8/1Np1p1p1/1P6/4P1P1/PBPP1PBP/RQ2K1NR w KQkq - 0 9,3
r1bqkb2/p1pppp1p/1pn3rn/6p1/P1P1P3/5N2/1PNP1PPP/R1BQKB1R w KQq - 3 7,0
rnb1kbnr/2q1p2p/1ppp2p1/p4P2/P2K1P2/7B/1PPPP2P/RNB2QNR w kq - 0 12,0
r1bqkb2/3ppppr/3p4/pP5p/2PPn1P1/1P2PP2/2n4P/RN1QKBNR w KQq - 1 13,1
rnb1k1nr/pp2qpp1/3pp2p/2p5/P1PP1P2/bPN4N/4P1PP/R1BQKB1R b KQkq - 0 7,3
rn1qkb1r/1bpppppp/5n2/p7/Pp4P1/2P5/1P1PPP1P/RNBQKBNR w KQkq - 1 7,2
r1bq1bnr/p1pppk2/1pn5/5ppp/P4PP1/BPN4N/2PPP2P/R2QKB1R w KQ - 3 8,3
rBb1kbr1/2pqp1p1/7p/pp1p4/4P1n1/N2P3P/PPP3P1/1RQK1BNR b - - 0 13,3
rnbq1b1r/1ppppkpp/p4p2/3n4/PPP5/N5PN/R1QPPP1P/2B1KB1R b K - 0 8,2
1nb1kbnr/Bppp1ppp/r3p2q/p7/1P6/N7/P1PPPPPP/R2QKBNR b KQk - 7 6,3
rn2kb1r/1p1qpp1p/p1pp1np1/8/1PB1P2P/7b/P1PPKPP1/RNBQ2NR b kq - 1 8,3
1rb1kbnr/p1pp1p1p/1p3qp1/4p1B1/8/N1PPPNP1/PPn2PBP/R3K1R1 w Qk - 0 11,1
rn2kbnr/1pq1p1pp/p1bp4/2p2p2/1PP1N1P1/P7/3PPP1P/RNBQKB1R w KQkq - 1 8,3
rnbqkb2/1p1pppr1/p1p2npp/8/5P2/1PN5/P1PPK1PP/R1BQ1BNR w q - 0 10,0
rn3bnr/pq1p2kp/b1p1p2p/1p3PB1/1P3P2/2PP1N1P/P5P1/RN2KB1R w KQ - 0 13,3
1nb1q1n1/rp1pkp1r/p1p1p1pp/2N5/1PB1PP2/b1P5/P1QP2PP/1RBK2NR w - - 7 13,3
1rbqnbr1/p1pp1ppp/n2k4/1B2p3/p2P4/1PN1P2N/2P2PPP/R1BQ1KR1 w - - 7 13,3
r1b2bnr/ppk1q2p/2pp1pp1/4N1P1/1n1N4/7P/PPPPPPB1/1RBQK2R w K - 1 11,3
r1b2Bnr/p3pk2/n1pp1p2/Pp4p1/P2P1P2/6P1/2PKP1BP/RNQ3NR w - - 1 13,3
rnq2bnr/p2ppk2/b7/Q1p2ppp/2p1P2P/6PB/PP1P1PNR/RNBK4 b - - 1 13,3
rnb2b1r/ppp2p1p/4p1p1/3pk3/Q1P3nP/2NPP3/PP1K1PP1/R1B2BNR b - - 4 12,3
1nb1kbnr/1pq1p1pp/r1p5/p2p1p2/3N1P2/P3P1P1/1PPP3P/RNBQKB1R b KQk - 3 8,3
rq3b1r/p1pkpp1p/b2p3n/1p1P4/1PP5/2Q1BP1N/n3PKPP/RN3B1R b - - 2 11,3
rnbqk1r1/pp1p1p2/2p1pnpp/8/3P1P2/b3P1PP/PPP4R/RNBQKBN1 b Qq - 0 8,2
1rb2b1r/p4k1p/np1ppNp1/2p2p2/1P4Pq/3PB3/P1PQPP1P/RN2KB1R w KQ - 1 12,3
1rbqkbnr/ppppp1p1/5p2/7p/3P2Q1/5N2/PPn1PPPP/RNB1KB1R w KQk - 0 7,1
r3kbr1/2pqpppp/1p2P3/p2p1B2/1P4n1/2N4N/1PPP1P1P/R1BQK2R w KQ - 0 13,3
1rbqkbn1/p2pp3/np3ppr/7p/Q1p1P2P/NPP4N/P2P1PPR/RBB1K3 b Q - 3 12,2
rnbqk1nr/ppppb1p1/4ppP1/7p/8/5P1P/PPPPP3/RNBQKBNR b KQkq - 0 7,0
1nbqkbnr/rp1pp1p1/p1p5/5p1p/4P1PP/2P2P2/PP1P1K2/RNBQ1BNR b k - 0 7,3
rnbq3r/1p1p1kp1/B1p1p3/p1b2P1p/1P6/P1P1nP2/3PN2P/RNBQK2R b KQ - 0 13,3
r2qkbnr/1bp1p1p1/3p1p1p/pp2n3/P1P3P1/NQ1P3P/RP1KPP2/2B2BNR b kq - 0 13,3
r1b1kbnr/p1p1p2p/n5q1/1p3ppP/2Pp1B2/NP1P1PPR/P3P3/R2QKBN1 w Qkq - 0 11,3
2bqkb1r/r2p1ppp/1pn2n2/p1p1p3/2P3P1/N3PP1B/PPQP3P/R1B1K1NR w KQk - 1 8,0
r1bqkb1r/1p1pp2p/n1p4n/p4pp1/P4P2/N6N/RPPPP1PP/2BQKB1R w Kkq - 2 7,0
r1bqkb1r/p1p1p1pp/1pn2n2/3p1p1P/2PP4/6PR/PP2PP2/RNBQKBN1 w Qkq - 0 7,2
rnb2bnr/ppqk4/3p1ppp/1Pp1p3/3NP1QP/P7/1BPP1PP1/RN2KB1R b KQ - 1 9,1
rnbq1bnr/p1p1p1p1/2Pp2k1/1p5p/QP3p1P/B4P2/P2PPKP1/RN3BNR w - - 0 10,3
rn1k1bnr/pp1qppp1/3p3p/P4b2/RPp2N1P/3P1P2/2P1P1P1/1NBQKB1R b K - 0 9,3
r1b1kb1r/pp3ppp/n1p5/3ppnq1/1P3N2/2P3P1/PBQPPPBP/RN2K2R b KQkq - 5 8,3
2bqkb1r/3ppppn/rp6/p5B1/2p3P1/2NQ1N1P/PPP1PP1R/R3KB2 b Qk - 1 12,3
rnbq2nr/pppp1kp1/7p/2b1pp2/P1P2P2/1PN3PP/3PP3/R1BQKBNR b KQ - 0 7,3
r1bqkbnr/p3p1pp/np6/2pp1p2/3P1P2/2N1B3/PPP1P1PP/R2QKBNR w KQkq - 0 6,3
rn2kbnr/ppp2ppp/3p3P/4p1q1/P1P5/1P6/3PPPP1/RbBQKBNR b KQkq - 0 6,3
rnb3r1/1p1pk2p/p1p1pppn/P1P4P/1B3P2/3P4/1P1KP1B1/RN1Q2NR b - - 0 13,0
rn1qkb1r/p4p1p/bppppn2/8/1P2P1p1/N5P1/P1PP1P1P/R1BQKBNR w KQkq - 0 9,3
r1bq1b1r/p1pkpppp/4n2n/1p1p4/4P3/N1P3PB/PP1PQP1P/R1B1K1NR b KQ - 4 8,2
rnq1kbnr/3pp2p/1Np3p1/p2b1p2/7P/2P1PNP1/PPQP1P2/1RB1KBR1 b k - 1 12,3
r1bqkbn1/2pppppr/1pn4p/p7/2P4P/NP3N2/P2PPPP1/R1BQKB1R w KQq - 2 6,0
1nb1kbnr/1pq1pppp/2pQ4/p7/2P5/3P3P/PP1KBPP1/RN4NR b k - 0 11,3
rn1qk1nr/4p2p/3p1p1b/ppp3p1/1PP1P1PP/5B2/P1bP1P1N/RNBQK2R w KQkq - 1 12,3
r1bqkb1r/ppppp2p/n5pn/5p2/1P5P/N1P2N2/P2PPPP1/R1BQKB1R w KQ - 0 7,0
r1bqkbr1/1ppppp1p/2n2nP1/p7/2P1P3/7P/PP1P2P1/RNBQKBNR b KQq - 0 6,3
r1bqkbnr/pppppp1p/n7/3P4/5p1P/P5P1/1PP1P3/RNBQKBNR w KQkq - 0 7,2
r2qkb1r/1bppp1pp/n7/pP6/P2PPpnP/8/1PQ1BPP1/RNB1K1NR b KQkq - 3 10,3
rnbq2Qr/2pkpnb1/p4p2/3p2N1/PpPPP3/1P6/3B1PPP/RN2KB1R b KQ - 4 12,3
r1b1k1nB/pp1p1p2/n5pb/2p1p1Pp/1PPq3P/5N2/P2PPPR1/RN1QKB2 w Qq - 1 13,3
rnb1k2r/p1qp1ppp/1pp1pQ2/8/1b2N1n1/4P1PN/PPPPKP1P/R1B2B1R b kq - 6 8,3
r2qkbnr/p3pppp/8/3p1b2/P1p2P2/R1P1P3/1P1P2PP/1NBKQ1NR b - - 4 11,0
rnbq1b1r/1ppkp2p/p2p1p1B/6pn/7P/1PPPP2N/P4PP1/RN1QKB1R w KQ - 0 8,3
r4bnr/1p1k2pp/n2pp3/p1q2p2/Pp3P2/N1P4N/1B1Pb1PP/1R1QKB1R w - - 2 13,3
r1bqk1nr/pp1p2pp/n1p2p2/2b2p2/4P1P1/P6P/1PPPK3/RNBQ1BNR w kq - 2 9,2
1nbbk1nr/rp1p4/1Qp1pp2/P5pp/P1PP4/4P3/4BPPP/RNB1K1NR b KQk - 0 11,3
rn2kbnr/p3ppp1/2qpb3/2p5/p1PPP1Pp/N4P1B/1P2K2P/1RBQ2NR w kq - 0 12,3
r2qkbnr/4p1pp/p1pp2b1/p7/P2N2P1/1P2pP2/2PP3P/R1BQK1NR w KQkq - 0 13,3
r1bqkbr1/ppp1ppp1/P1n5/3p1n1p/1P6/R2P4/2P1PPPP/1NBQKBNR w Kq - 0 9,2
r1bq2n1/pp1ppk1r/1P4pp/2pP1p2/2P4P/8/P2PBPP1/RNbQK1NR w Q - 0 13,3
r2qk1nr/1pn1b1p1/p2p1p2/4p2p/2b1PP2/PPP4P/3P2PR/1RBQKBN1 b kq - 0 12,3
rn2kbnr/pp2pppp/8/2pp4/PP2PN2/7b/R1PP1PPq/1NBQKB1R b Kkq - 2 7,3
1nbqkb1r/rpp1pp1p/p2p3n/4P3/6p1/1P3P1P/P1PPB1P1/RNBQK1NR w KQk - 0 7,3
rnb4r/pp1p1kp1/2p1p3/3n1P2/2q5/b6P/1PPPBPPR/RNB1K1N1 b Q - 0 13,3
1rbq3r/pppkp1bp/6p1/2np3n/P2Np1P1/1P1PPP2/2P4P/R1BQKBR1 b - - 0 13,3
rnbq1bnr/pp1p2pp/2pkpp2/8/1P4P1/2P2P1P/P2PP2R/RNBQKBN1 b Q - 1 6,0
rnbq2n1/p1p1kp1r/3p4/2b1p1p1/3PPNPp/2N5/PPP1BP1P/R1BQK2R w KQ - 2 10,3
r1bqk2r/p1p2ppp/np3n2/3pp3/P2PP3/b2Q1P2/1PP3PP/R1B1KBNR w KQkq - 0 7,3
rnq2bnr/5kp1/ppppp2p/5b2/8/P1NBPPP1/1PPP3P/1RB1K1NR b K - 0 11,0
rnb3nr/pppkb1pp/3pp2B/5p2/3P3P/1P3P2/P1PQP2P/RN2KBNR b KQ - 0 7,3
rn1k3r/2qbppb1/1Qpp1N1n/pB4p1/4P3/2PP3P/PP3PP1/RNB2RK1 b - - 2 13,3
rnbqkb1r/2pppp2/p4n2/1p4pp/7P/N1P2P2/PP1PP1P1/1RBQKBNR w Kkq - 0 6,3
rnb1kb1r/pp2p1pp/2p5/3p4/1PP1Pp1N/N2P3P/P2Q1n2/R1B1KBq1 w Qkq - 1 12,3
rnbqkb2/p2p1p1r/6pP/1pp1p3/P3nP2/4P2N/1PPP3P/RNBQKB1R w KQq - 2 11,3
rn1qkbnr/1bpppppp/8/pp3P2/1P6/N7/P1PPP1PP/R1BQKBNR b KQkq - 4 6,3
rnbqkb1r/pp1p1p2/2p3p1/4p2p/7P/5BP1/PPPPPn2/RNBQK1NR w KQkq - 0 8,3
r1b1kbnr/3pp1pp/p1p5/1pnB1p2/6P1/P2P3N/1PP1PPKP/RNBQq2R b kq - 5 9,3
1nbq1b1r/1pkp1Q2/r4n1p/p1P1p1N1/P1B1P3/8/1PPBKPPP/RN5R b - - 0 13,3
rn2kbnr/p3p1Bp/3pq3/2p2p2/pP2P3/7b/2PPNPPP/RNQ1KB1R b KQkq - 0 9,3
rnbqk2r/2pp1pbp/4pn2/ppP3p1/B7/N3PQ1P/PP1P1PP1/R1BK2NR b q - 2 11,2
r1b1kb1r/ppppnppp/2n1pq2/8/8/P3PNP1/1PPP1P1R/RNBQKB2 b Qkq - 2 6,3
rn1qkbn1/p1p1p1pr/1p1pbp2/7p/2PP2P1/6RN/PP2PP1P/RNBQKB2 w Qq - 0 7,2
1rbqkb1r/p1p1pppp/n7/1p1p3n/2P5/2N3PP/PP1PPPR1/R1BQKBN1 b Qk - 2 7,3
r1bq1bnr/npp1pkpp/8/pB3p2/PPp2P2/R3P3/3P2PP/1NBQK1NR w K - 0 9,3
rnb1qbnr/1ppp1kpp/p7/4pp2/2N5/P2P3P/1PP1PPP1/1RBQKBNR b K - 5 6,0
r1bqk1nr/3pp1bp/2n3p1/p4p2/3P4/2p2P2/3NP1PP/R1B1KBNR w KQkq - 0 11,3
rn2kbr1/p1qp2pp/1pp1pn2/B2P1P2/5PP1/3b4/PPPQN2P/RN2KB1R b KQq - 2 11,3
1rb1k1nr/ppp1bp1N/3pp2p/6P1/2P4P/N2nK2B/Pq2PP2/R1BQ3R b k - 2 12,3
r2qkbnr/ppp1p1R1/5p1p/5b2/N3p3/1P3P2/P1PPPK1P/R1BQ1B2 b k - 0 11,3
rn1q1bnr/p3pkp1/2p2p1p/1p1p4/2PP2b1/N4P1N/PP1KP1PP/R1B1QB1R b - - 2 8,3
r2qkb1r/pb3p1p/1P1p1n2/2p1p1p1/P5P1/1P1P1P1P/1B1P4/RN1QKBNR b KQkq - 0 11,3
rn1qkbnr/2pppp1p/p7/1p4p1/b4PPP/P1P5/1B1PP3/RN1QKBNR w KQkq - 0 9,3
rnbqkbnr/1pp1p1p1/8/p2p1p1p/3N3P/P7/RPPPPPP1/1NBQKB1R w Kkq - 0 6,0
rnbqkb1r/p1p1pp1p/1p6/3p4/2BPPpP1/8/PPPK2P1/RNBQ2NR w kq - 0 10,3
1n2kb1r/2pqp3/r2p3p/p4ppn/1p4b1/BPPPQP1P/P3P1B1/RN2K1NR b KQk - 0 13,3
rn1k1b1r/1pp1pp1p/p1B3pn/3p4/P7/1P2P2b/2PP1PPR/RNBQK1N1 b Q - 0 9,3
rnb4r/pppqkp1p/3pp1pn/2b5/2PP4/4P1PP/PP2QP2/RNB1KBNR w KQ - 1 9,0
rn2qb2/pbpkpppr/3N3n/3p3p/1p1P4/1P3P1N/P1P1P1PP/R1BQKB1R b K - 5 13,3
rnbk1bnr/pp2p1p1/5B1p/2pp4/2B3P1/NP2P3/P1PPK1PP/R2Q2NR b - - 0 10,3
1rbqk1nr/1p1p1p1p/2p5/4p1p1/pb1nP3/PPPB3N/3P1PPP/RNBQK1R1 w Qk - 2 12,3
r1bqkb1r/pp1pppp1/n7/nP5p/P7/B2P2P1/R1P1PP1P/3QKBNR b Kkq - 4 10,3
rnbqkb1r/p1p1pppp/5n2/8/1p1p1N2/P4PP1/RPPPPK1P/1NBQ1B1R w kq - 0 8,0
1rbqk1nr/1p1pbp1p/8/2p1p1p1/p2nP1PP/N4B2/PPPPQP2/R1B1K1NR w KQk - 1 10,3
r1bqkb1r/ppp2p1p/4p1p1/2n1n3/P1Np1P2/1P1P3N/2P3PP/1RBQKB1R w Kkq - 2 10,0
2bqkbnr/r1pppp2/2n5/p5pp/1p4P1/P3P2P/1PPP1P1R/RNBQKBN1 w k - 0 9,3
r1bqk2r/2pp1ppp/1pn1p2n/p6B/1b2P3/N7/P1PP1PPP/R1BQK1NR w KQkq - 0 7,0
r3kbnr/ppp4P/2npb3/2P1ppq1/1P6/7P/P2PP1P1/RNBQKBNR b KQkq - 0 8,3
1nbq1bnr/r1pkpp1p/1p6/p2P1Pp1/1P1PPB1P/8/P5P1/RN1QKBNR w KQ - 1 12,3
rnbqkbnr/p1p1p1pp/8/1p3p1P/P2p4/5P1N/1PPPP1PR/RNBQKB2 w Qkq - 1 7,0
2b1kb1r/rpp4p/2n1p1pn/p2p1p2/PP1P1P1q/2P1P1P1/3B2B1/RN1QK1NR w KQk - 0 12,3
1n1qkb1r/1bp1pppp/rp6/p2p3n/5P2/1PNP4/P1PBP1PP/R2QKBNR b KQk - 5 9,0
r1bqkbnr/p1p3pp/3ppp2/1pn5/5PP1/1PP1P2N/PB1P3P/RN1QKB1R w KQkq - 0 8,0
rn1q2nr/1b1ppk1p/5p1b/pNp3p1/1P4P1/2PPPP2/PB1K3P/R2Q1BNR w - - 1 12,3
rnb1kbnr/qp1pp2p/2p2p2/p7/1P4p1/2N2NP1/PBPPPP1P/R2QKB1R b Qkq - 1 10,3
r1bqk1n1/1pppbp2/p3p3/4P1pr/PP1P2P1/8/2PBP2P/RN1QKB1R b KQq - 0 10,3
rnbqkb1r/p1pppp1p/1p3n2/1B4p1/1P6/N3P3/P1PP1PPP/R1BQK1NR w KQkq - 0 6,0
r1bqkbr1/p1pppp1p/1pn2n2/6p1/2P5/3P1PPP/PP1QP3/RNB1KBNR b KQq - 0 6,0
rnb1kbnr/4p1pp/2pp4/p2N1p2/pPPP2P1/6qP/4PP2/R1BQKBNR w KQkq - 0 10,3
rnb1kb1r/p1p1pppp/1p5n/3p2q1/3P4/N7/PPP1PPPP/1R1QKBNR w kq - 1 8,0
rnbqkbn1/pp1p2pr/2p1pp2/7p/5PPP/PP2P3/2PP4/RNBQKBNR b KQq - 0 6,3
1rbq1b1r/p1pk1p1p/2np3n/1p2p1p1/1P1P4/P2BP2Q/2P2PPP/RNB1K1NR b KQ - 3 9,1
r1bqkbn1/pppppp1r/7p/5Pp1/1n2Q3/2P1P3/PP1P2PP/RNB1KBNR b KQq - 0 6,2
rnbqkbnr/p1p1p3/Bp1p1pp1/7p/3NP3/PPP5/2QP1PPP/RNB1K2R w KQkq - 0 9,2
rnb1kbnr/pp2p3/2p4p/6p1/q2p3P/NPPP2p1/4PP2/R1BQKBNR b KQkq - 0 11,3
1r1qkb1r/1pp1pbpp/p2p2nn/1N4p1/2PP3P/P7/1P1QPPP1/1R2KBNR w Kk - 1 12,3
r1bqkb1r/ppppn1p1/5p2/2n1p2p/1P1P1P2/2P1B2N/P3P1PP/RN1QKB1R b KQkq - 2 7,3
r1bqkbnr/pp1pp1pp/2p5/5p2/1nPP4/N4P1P/PP1BP1P1/R2QKBNR w KQkq - 1 7,0
r3kbnr/2p1pppp/b2q4/pp1pn3/PPPP2P1/N2Q3B/1B2PP1P/R3K1NR b KQkq - 3 10,3
rnbqkb1r/1p1pp2p/5np1/p1p2p2/8/1P2PNPP/P1PP1P2/RNBQKB1R w KQkq - 0 6,0
1r1qkbnr/p4p2/n1ppb3/1p2p2p/4P1QR/1PNP2P1/P1P2P2/R1B2KN1 b k - 0 12,3
rn1qkbnr/1p2p1pp/3p1p2/p1p5/1PP1P3/7b/PB1P1PPP/RN1QKBNR w KQkq - 0 7,3
r1bqkbnr/pppp2p1/2n2p2/4pP1p/2PP2P1/1P6/P3P2P/RNBQKBNR w KQkq - 1 7,3
r1bnkbnr/p2p2pp/8/1pp1pp1P/7R/P2PP1P1/1PP2P2/RNBQKBN1 b Qkq - 0 8,0
4kbnr/r2pp3/bq4pp/pNp2p2/1nPP3P/1P3N2/PR2PPP1/2BQKB1R w Kk - 2 12,3
1rbq2nr/2Npkppp/ppn5/1B2p3/8/bP2P3/P1PP1PPP/RNBQK2R w KQ - 0 8,3
rn1qkbnr/1p3ppp/4p3/pbpp4/NP5P/P2P1N2/2P1PPP1/R1BQKB1R w KQkq - 1 8,3
1nbqkb1r/rppp2pp/p1n5/5p2/1PP1p2P/4PNP1/P2PKP2/RNBQ1B1R w k - 1 13,3
rn1qk2r/2p1ppbp/pp1p4/5bp1/2PQPP1P/NP6/P3P1P1/R1B1KBNR w KQkq - 3 9,3
rn1qkb1r/ppp2ppp/3p1n2/4p3/3P4/1bP1P3/PPQB1PPP/RN1K1BNR w kq - 7 7,3
2bqkbnr/rpppp2p/8/p3npp1/1P4B1/N3PN2/P1PP1PPP/R1BQK2R w KQk - 3 9,3
rnbq3r/4pkb1/p2p1np1/1pp2p1p/2P2PP1/NQ1P3P/PP1BP2R/1R2KBN1 w - - 2 12,3
rnbqkbnr/1p2pp2/2pp2pp/p6P/5P2/4P3/PPPPQKP1/RNB2BNR w kq - 1 8,0
1nbqkb1r/rppppp1p/7n/p5p1/4P2P/8/PPPPNPPR/RNBQKB2 w Qk - 2 6,0
2bq1bnr/1ppkp2p/r1n3p1/1P3pP1/p2pP2P/3P1Q2/P1P2P2/RNBBK1NR w KQ - 1 11,3
rnbqk2r/pp1pppb1/6pn/2pP3p/8/1P2P3/PBPQNPPP/RN2KB1R b KQkq - 0 7,2
rnb1kbnr/pp1p3p/4ppp1/2p5/2B3PP/3PP3/PP1PKP2/RNBQ2NR b kq - 0 8,0
rnb1kb1r/1p1ppp1p/p1p5/qP4p1/P5P1/2PP1P2/5P2/RNBQKBNR b KQkq - 2 9,3
1nb1kbnr/1B1ppppp/2p5/8/1P1PP3/6q1/2P2P1P/rNBQK1NR b Kk - 1 11,3
r1bk1b1r/ppq3pp/n6n/2p2p2/1P1pp3/2P1PNP1/P1QP1PBP/RNB1KR2 w Q - 0 12,3
1nbqkb2/r1pp1ppr/1p5n/p3p2p/P1PP4/2N3PB/1P1KPP1P/R1BQ2NR w - - 2 8,3
r1b1kbn1/pp1pqp2/n6r/2p5/3Pp2p/N3Q1PP/PPP1PPB1/R3K1NR w KQq - 0 12,3
rn1qkb1r/pb1ppp2/2p3pp/1p6/2P3n1/2NPP2P/PP2NPP1/R1BQKB1R b KQkq - 2 8,3
rnb1k1nr/3p2pp/p1pb1p2/qp2p3/3P2P1/P1P5/1PQKPP1P/RNB2BNR b kq - 0 9,3
rn2kbnr/p2p1ppp/b1p1p3/1Q4B1/6q1/3P3N/PPP1PPPP/RN1K1B1R b kq - 4 7,3
r1bqkb1r/1p1ppp2/2p5/pB3Qpp/1P1P4/BP2P1nP/P4PP1/RN2K1NR b KQkq - 1 12,3
rnbqkb1r/1p1p1np1/4p3/2p2p2/p2NPP2/3K3Q/PPPPB1PP/RNB4R b q - 1 13,3
rn2kbnr/pp2pp1p/4b3/1Ppp2p1/4N1P1/1Q5P/PP1PPP1R/R1B1KBN1 b Qkq - 0 8,3
rnb2bnr/ppp1kppp/3p2q1/1N6/4pB1P/P2P4/1PP1PPP1/R2QKBNR w KQ - 0 7,3
r3kb1r/p1p1Np1p/1p1p3n/1P4p1/5P2/6B1/P1PP1nPP/1R1QKB1R w Kkq - 0 13,3
r1bq1bnr/ppppp1p1/n4k1p/5p2/4P2N/N2B4/PPPP1PPP/R1BQK2R b KQ - 1 6,0
r1bqk1nr/pppp1p2/2n3Q1/4p1p1/1b6/2PP3P/PP2PPP1/RNB1KBNR w KQkq - 0 7,3
rnbq1bnr/3kpp1p/1p1p4/p1p3p1/P1P5/2N2N1P/RP1PPPP1/2BQKB1R b K - 0 7,2
rnb1kbnr/p1qppppp/1p6/2p5/P5P1/RPN4B/2PPPP1P/2BQK1NR b Kkq - 4 6,0
rnbqkbn1/pNp1p2r/1p3pp1/3p4/8/2N1P1Pp/PPPPBP1P/R1BQK2R w KQq - 0 10,3
rnbqk2r/ppppp2p/Q5pn/5p2/5b2/P1P4P/1PK1PPP1/RN3BNR w q - 2 11,3
r1bqkb1r/pppppp2/n4n1p/4N1pP/2P1P3/8/PP1P1PPR/RNBQKB2 b Qkq - 4 7,3
r2qk2r/pbpppp2/5n1b/1B4p1/1n6/4P2P/PPPP1PP1/RNBQ1K1R w kq - 1 11,0
1rbqkbnr/pp1ppp1p/n1p3p1/1P6/P1P5/3P1P1P/1BQ1P1P1/RN2KBNR b KQk - 4 9,3
r1b1kbn1/1p2pppr/p1p4P/3p4/1Pn5/N1PP4/P1K1PP1P/R2Q1BNR w q - 1 11,3
rq2kbnr/p1p4p/n1b1p3/1p1p1Pp1/P2P4/NPP2P1B/2Q1P2P/R1B2KNR b kq - 3 12,3
rnb1kbnr/4pp2/p1p3p1/1pNp3p/2q3P1/P2PP2N/1P3P1P/1RBQKBR1 w kq - 0 12,3
1r1qkbnr/ppp1p1p1/3p4/5p1P/2bPnP2/NPP4B/PB2P2P/R2Q1KNR b k - 0 12,3
rn2kbnr/p1p1p3/q2p2p1/1p3p1p/PP1P2P1/1bP2P1P/R3PK2/BN1Q1BNR b kq - 1 12,3
1r2kb1r/p1pqpp1p/np1p1n2/1P4p1/1R1PP3/5P1b/P1PN2PP/2BQKBNR b Kk - 4 9,3
rn1qkbnr/2p1pppp/8/pp6/1P1pP1b1/2PP4/P3KPBP/RNBQ2NR w kq - 0 8,1
r1bq1bnr/1pp1ppp1/B2k3p/n2pN3/3P1P2/4P3/PPP3PP/RNBQK2R b KQ - 0 9,3
rn1qk1nr/p4pbp/1p1pb3/1Pp1p1N1/2B1P1P1/N4Q1P/P1PP1P2/R1B1K1R1 w Qkq - 1 12,3
1rbqkbnr/p1p1p1pp/1p6/3p1p2/1nP4P/3BP3/PP1PQPP1/RNB1K1NR b KQk - 4 7,3
rn1qkbnr/ppp2p1p/3p2p1/4p3/1PP3b1/B3P1P1/P1QP1P1P/RN2KBNR w KQ - 1 8,0
