fen,is_tactical
r1b1kbnr/pp2p1pp/2np4/3p1p2/P7/8/1PPPPPPP/RNBQKB1R w KQkq - 0 6,1
rnbq1bnr/pppppk1p/6p1/6p1/8/5PP1/PPPPP2P/RNBQKB1R w KQ - 0 5,1
1rbqkb1r/p1pppppp/2n4n/1p6/N6P/2P4R/PP1PPPP1/R1BQKBN1 b Qk - 2 5,1
rnbqkbnr/p1p1pppp/1p6/3p4/1P2P3/8/P1PPNPPP/RNBQKB1R b KQkq - 0 3,1
rnbqkbnr/pppp1ppp/4p3/8/8/N2P2PP/PPP1PP2/R1BQKBNR b KQkq - 0 4,0
r1bqk1nr/ppp1p1bp/2n2pp1/3p4/1PP1P3/P7/3PBPPP/RNBQK1NR w KQkq - 0 6,1
rnbqkbnr/1p1pppp1/2p4p/p7/P5P1/8/1PPPPP1P/RNBQKBNR b KQkq - 1 4,1
r1b1kbnr/pppqp2p/3p1pp1/2n3N1/8/2N1P2P/PPPPKPP1/R1BQ1B1R w kq - 2 7,0
rnb1k1nr/pp1p1ppp/1qp1p3/8/4P1P1/2N5/PPPPKP1P/R1BQ1BNR b kq - 0 6,1
rnb1kbnr/pppqpppp/8/3p4/6P1/5P2/PPPPP2P/RNBQKBNR b KQkq - 0 3,1
r1bqkbnr/p2ppp1p/1pn5/2p3p1/P3P3/5P2/1PPPN1PP/R1BQKBNR b KQkq - 0 5,0
rnbqkb1r/1pppp2p/5n1p/p4p2/2P5/P2P3P/1P2PPP1/RNQ1KBNR b KQkq - 1 6,1
rnbqk1n1/pppp1p1r/3b3p/6p1/1P2p3/5N1P/P1PPPPPR/RNBQKB2 w Qq - 0 7,1
rnbqkb1r/pp1ppppp/7n/2p5/1P6/2N2P2/P1PPP1PP/R1BQKBNR b KQkq - 2 3,1
r1bqkb1r/1ppppp1p/p1n2Bp1/5n2/1P6/3P1P2/P1P1P1PP/RN1QKBNR w KQkq - 1 6,1
rnbqkb2/2pppppr/5n2/pp4Np/P5P1/2P5/1P1PPP1P/RNBQKB1R w KQq - 0 6,1
rnbqk1nr/pppp1pp1/8/4p2p/3P3P/b1P3P1/PP2PP2/RNBQKBNR b KQkq - 0 4,1
rnb1kbnr/pppp1ppp/8/4p3/2P4q/P7/RP1PPPPR/1NBQKBN1 b - - 0 5,1
r1bqk1nr/pppp1ppp/n3p3/8/2P4P/bQ6/PP1PPPP1/RNB1KBNR w KQkq - 2 4,1
rnbqk1nr/p1ppp1b1/1p6/1B3ppp/P7/2N1PQ2/1PPP1PPP/R1B1K1NR w KQkq - 0 6,1
rnbqkbr1/1ppppppp/p4n2/8/5P2/1P6/P1PPP1PP/RNBQKBNR w KQq - 0 4,0
rnbqkbnr/ppp4p/3p1p2/4p1p1/P2P4/BP5N/2P1PPPP/RN1QKB1R b KQkq - 1 5,0
rnbq1bnr/ppNp1ppp/2pkp3/8/8/P4P2/1PPPP1PP/R1BQKBNR b KQ - 0 5,1
r1bqkbnr/ppp1pppp/n2p4/8/8/N2P2P1/PPP1PP1P/R1BQKBNR b KQkq - 0 3,0
rnbqkbnr/1pppppp1/p7/7p/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq - 0 3,0
rnbqkbnr/1ppp1ppp/8/p3p3/4N3/7P/PPPPPPP1/R1BQKBNR b KQkq - 1 3,1
rnbqkb1r/2pppppp/pp3n2/8/P7/5P2/1PPPP1PP/RNBQKBNR b kq - 0 4,1
rnbqkbnr/2pp2pp/p3p2B/1p3p2/1P1P4/N5P1/P1P1PP1P/1R1QKBNR b Kkq - 1 6,1
rn1qkbnr/p1pppp1p/b7/1p4p1/5P2/P6N/1PPPP1PP/RNBQKB1R w KQkq - 1 4,1
rnbqkbnr/pp1pp2p/2p3p1/5p1Q/4P3/2P4P/PP1P1PP1/RNB1KBNR b KQkq - 0 4,1
rnbqkbnr/p1ppp1pp/1p6/4Np2/8/1P5P/P1PPPPP1/RNBQKB1R b KQkq - 1 4,0
r1bq1bnr/pppppk1p/5p2/1N4p1/8/6PB/nPPPPP1P/RNBQK1R1 w Q - 0 7,1
rnbqkbnr/2pppppp/8/1p6/p4P2/P4N2/1PPPP1PP/RNBQKB1R w KQkq - 0 4,1
r1bqkbnr/p1ppp1pp/2n5/1p3p1P/8/6P1/PPPPPPB1/RNBQK1NR b KQkq - 0 4,0
rnbqkb1r/ppppn1p1/4p3/7p/3PPpP1/1P6/P1PN1P1P/R1BQKBNR b KQkq g3 0 6,0
rnb1k1nr/p1ppbppp/8/1p2p3/P3N3/4P3/1PPP1PPR/R1BQKBN1 w Qkq - 1 6,1
r1bq1bnr/pp1kppp1/n2p4/2p4p/3P4/P2Q1PP1/1PP1P2P/RNBK1BNR w - - 0 7,1
rnbqkbnr/ppp2p2/3pp1p1/7p/7N/P5PP/1PPPPP2/RNBQKB1R b KQkq - 0 5,0
rnbqkbnr/1pp2ppp/8/p2pp3/2P4P/4P3/PP1P1PP1/RNBQKBNR w KQkq - 0 4,0
r1bqkbnr/p1p1p2p/n4ppP/1p1p4/5P2/BP6/P1PPP1P1/RN1QKBNR b KQkq - 0 6,1
r1bqkbnr/pppp3p/n3pp2/6p1/4P3/7P/PPPP1PP1/RNBQK1NR w KQkq - 0 5,1
rnbqkbnr/pp2ppp1/3p4/2p5/3P2Pp/2P4P/PP2PP2/RNBQKBNR w KQkq - 0 5,1
rnbqkbnr/1pppppp1/8/p7/2P4p/P2P2P1/1P2PP1P/RNBQKBNR b KQkq - 0 4,0
1nbqkbnr/rpp1ppp1/7p/p2p4/P7/RQP1P3/1P1P1PPP/1NB1KBNR w Kk - 0 6,0
rn2kbnr/p2p1pp1/bq6/1pp1p3/2P1Q3/2N5/PP1PPPPP/R1B1KBNR b KQkq - 4 6,0
rnbqkbnr/pp2pp1p/2pp2p1/8/Q7/P1P5/1P1PPPPP/RNB1KBNR w KQkq - 0 4,0
rnbq1b1r/pppppkpp/7n/5p2/8/6P1/PPPPPPBP/RNBQ1KNR w - - 2 4,1
r2qkbnr/2pppppp/bpn5/pP4N1/2P5/8/P2PPPPP/RNBQKB1R b KQkq - 0 5,1
rnbqkbnr/p1p1pppp/1p6/3p4/3P4/2N4N/PPP1PPPP/R1BQKB1R b KQkq - 1 3,0
rnbqkbnr/1p1pppp1/p1p4p/8/5PP1/8/PPPPP2P/RNBQKBNR w KQkq - 0 4,0
rnbqk1nr/pppp2pp/4pb2/1P3p2/5P2/8/P1PPP1PP/RNBQKBNR w KQkq - 1 5,0
r1bqkbnr/pppp1p1p/n3p3/6p1/4P3/6PP/PPPP1P2/RNBQKBNR w KQkq - 0 4,1
rnbq1knr/1pp1pp1p/7b/p2p2p1/3P4/P1P4N/1P2PPPP/RNBQKB1R b KQ - 0 6,0
r1bqkb1r/pppnpppp/7n/2Pp4/8/P7/1P1PPPPP/RNBQKBNR w KQkq - 1 4,0
rnbqkb1r/1p1p1p1p/5n2/p1p1pPp1/7P/1PN5/PBPPP1P1/R2QKBNR w KQkq e6 0 7,1
rnbqkbnr/pp1pp1p1/7p/2p2p2/5P2/1P4P1/P1PPP2P/RNBQKBNR w KQkq - 0 4,1
r1bqk1nr/pp1pppbp/2n3p1/P7/1p6/2P2P2/3PP1PP/RNBQKBNR w KQkq - 1 6,1
rnbqkbnr/1p1ppppp/8/p1p5/1P6/2P2N2/P2PPPPP/RNBQKB1R w KQkq - 0 4,1
rnbqkbnr/ppppp3/6pp/5p2/P1P5/5N1P/1P1PPPP1/RNBQKB1R b KQkq - 0 4,0
rnb1kbnr/ppppq1pp/5p2/4p3/1P3P2/7N/P1PPP1PP/RNBQKB1R w KQkq - 2 4,0
rnbqkbnr/1p1p1ppp/8/p1p1p3/PP6/2R5/2PPPPPP/1NBQKBNR b Kkq - 1 4,1
rnbqkbnr/2ppppp1/1p5p/p7/8/N1P4N/PP1PPPPP/R1BQKB1R w KQkq - 0 4,0
r1bqkbnr/1pppp3/p1n2p2/4B1pp/8/PP5P/2PPPPP1/RN1QKBNR w KQkq - 0 6,0
rn1qkb1r/ppp1pppp/7n/3p1b2/8/PP2P3/2PP1PPP/RNBQKBNR w KQkq - 1 4,0
r1bqkbnr/ppppppp1/8/7p/1n6/2P1P2N/PP1P1PPP/RNBQKB1R w KQkq - 0 4,1
r1bqkbnr/pppppppp/8/n7/P7/2P4N/1P1PPPPP/RNBQKB1R b KQkq - 0 3,0
rnbqkb1r/pp1pp1pp/7n/2p2p2/QP3P2/2P4N/P2PP1PP/RNB1KB1R b KQkq - 1 6,0
rnbqkbnr/ppppp3/5p1p/4N1p1/8/3P4/PPPNPPPP/R1BQKB1R b KQkq - 1 4,1
rnbqkbnr/1ppppp1p/p7/6p1/8/1P4PB/P1PPPP1P/RNBQK1NR b KQkq - 0 3,0
rn1qkbnr/ppp1pppp/3p4/5b2/8/N3PPP1/PPPP3P/R1BQKBNR b KQkq - 0 4,0
rnbqkb1r/p1ppnppp/8/1p2p3/2P2P2/8/PP1PPKPP/RNBQ1BNR w kq - 2 4,0
r1bqkbnr/pp1pp2p/n1p3p1/P4p2/8/3P3N/1PPNPPPP/R1BQKB1R b KQkq - 1 5,0
rnbqkbnr/pppppp2/6pp/8/3P4/2PQ4/PP2PPPP/RNB1KBNR b KQkq - 1 3,0
rn1qkbnr/1pp1pppp/3p4/p3Pb2/8/5Q2/PPPP1PPP/RNB1KBNR w KQkq - 1 4,1
r2qkb1r/ppp1ppp1/n4n2/3p3p/P7/6Pb/1PPPPP2/RNBQKBNR w KQkq - 0 6,1
1nbqk1nr/rppp1ppp/8/p3p3/1b1P4/2P1B1P1/PP2PP1P/RN1QKBNR w KQk - 3 5,1
rnb1kbnr/ppp3p1/5p2/3pp1qp/6PP/NP6/P1PPPP1R/R1BQKBN1 w Qkq - 0 6,1
rnbqkbnr/1ppp1p1p/8/p3p1p1/3P3P/N4P2/PPP1P1P1/R1BQKBNR b KQkq - 0 4,1
rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P3P2/P1PP2PP/RNBQKBNR b KQkq - 0 3,0
rn1qk2r/pbpp1p1p/4p1pn/1pb5/Q3P2P/N1P5/PP1PNPP1/R1B1KB1R w KQkq - 0 7,1
rnbqkbnr/pp2p2p/2pp4/5pN1/1P6/3PP3/P1P2PPP/RNBQKB1R b KQkq - 0 5,1
r1bqkb1r/pppppp2/2n2np1/7p/P7/N2PP3/1PP1KPPP/R1BQ1BNR b kq - 0 5,1
rnbqkb1r/1p1pnppp/4p3/p1pN4/P4P2/8/1PPPP1PP/R1BQKBNR w KQkq - 2 5,0
rn2kbnr/1pp1pppp/p2q4/5b1Q/3pP3/1P5P/P1PP1PP1/RNB1KBNR b KQkq - 0 6,1
r1bqkb1r/p1pppp1p/2n2np1/1B3Q2/8/4P3/PPPP1PPP/RNB1K1NR w KQkq - 2 5,0
rnbk1bnr/1p1pp1p1/BqpN1p2/7p/4P3/8/PPPP1PPP/R1BQK1NR w KQ - 2 7,1
r1bqkbnr/ppp1ppp1/3p3p/8/1n3PPP/3P4/PPP1P3/RNBQKBNR w KQkq - 1 5,0
rnbqkb1r/p2pppp1/5n2/1pp4p/4P2P/5PPR/PPPP4/RNBQKBN1 w Qkq - 0 7,0
rn1qkbnr/ppp2ppp/3pp3/5b2/3P4/N6N/PPP1PPPP/R1BQKB1R w KQkq - 0 4,0
r1bqkbnr/p1ppp1pp/n7/1N3p2/6P1/1pP1P3/PP1P1P1P/R1BQKBNR b KQkq - 1 6,0
r2qkbnr/ppp1pppp/2n1b3/3p4/8/P1N2N2/1PPPPPPP/R1BQKB1R w KQkq - 1 4,0
rnbqkbnr/1p2pp1p/2pp4/p5p1/2PPP3/8/PP1N1PPP/R1BQKBNR w KQkq - 0 5,1
rnbq1bnr/2ppk1pp/pp2pp2/8/1PN5/7N/PBPPPPPP/R2QKB1R w KQ - 2 6,1
rn1qkbnr/pp2pp1p/2p3p1/7b/3p4/3BP1PP/PPPP1P2/RNBQK1NR w KQkq - 0 7,1
rnbqkbnr/1pp1pppp/p2p4/8/5P1P/2P5/PP1PP1P1/RNBQKBNR b KQkq - 0 3,1
rnb1kbnr/pp1ppppp/1q6/2p5/8/N2P3N/PPP1PPPP/R1BQKB1R b KQkq - 2 3,0
rn1qkbnr/p1p1pppp/1p2b3/3p4/8/2N1PQ2/PPPP1PPP/1RB1KBNR w Kkq - 0 5,0
rnbqkbnr/1pp1pppp/p2p4/8/P7/2N1P3/1PPP1PPP/R1BQKBNR b KQkq - 0 3,0
rnbqkb1r/p1p1pppp/7n/1p1p4/8/PPP5/R2PPPPP/1NBQKBNR b Kkq - 0 4,0
rnbqkbnr/1ppp2pp/p7/4pp2/8/1PN1P3/PBPP1PPP/R2QKBNR b KQkq - 0 4,0
rnbqkbnr/p1ppp1pp/8/1p3p2/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,1
rnbqk1nr/pppp3p/4p1p1/5p2/Pb2P3/2N3PN/1PPP1P1P/R1BQKB1R b KQkq - 0 5,0
rn1qkbnr/p1ppp1pp/bp6/5p2/6P1/P2P4/1PPQPP1P/RNB1KBNR b KQkq - 2 4,0
1nbqkb1r/1p1ppppp/r1p4n/p4P2/7P/2N1P1P1/PPPP4/R1BQKBNR w KQk - 1 7,1
rnbqkbnr/pp1pp2p/6p1/2p2p2/7P/1P2P1P1/P1PP1P2/RNBQKBNR b KQkq - 0 4,0
r1bqkbnr/ppp1p1pp/n2p4/1N3p2/1P6/8/P1PPPPPP/R1BQKBNR w KQkq - 1 4,0
rnbqkbnr/ppp2ppp/3pp3/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 1 3,0
r1b1kb1r/pppnnpp1/3pp3/2P4p/P4N1q/2N5/1P1PPPPP/R1BQKB1R w KQkq - 1 7,1
r1bqkbnr/ppppppp1/8/7p/1n3P2/N1P5/PP1PP1PP/R1BQKBNR w KQkq - 0 4,1
r1bqkbnr/pppp1ppp/2n1p3/8/8/1P1BP3/P1PP1PPP/RNBQK1NR b KQkq - 1 3,0
rnbqkbnr/2p1p2p/1p1p1pp1/p7/5P2/P2PP2N/1PPQ2PP/RNB1KB1R b KQkq - 0 6,0
rnbqkb1r/p2p2pp/4p3/1pp2p2/6n1/3N1PPB/PPPPP2P/RNBQK2R w KQkq - 2 7,1
rnbqkbr1/ppppppp1/5n2/7p/P5PP/8/1PPPPP2/RNBQKBNR w KQq - 1 4,1
rnbqkb1r/1pp1pp2/p2p1np1/7p/P2PP3/2N5/1PPKNPPP/R1BQ1B1R b kq - 0 6,0
r1bqkbnr/pppppp2/n5pp/6B1/8/2NP4/PPP1PPPP/R2QKBNR b KQkq - 1 4,1
r2qkbnr/ppp1pppp/3p1n2/8/7P/7b/PPPPPPB1/RNBQK1N1 w Qkq - 0 6,1
rnb1kbnr/p1p1pppp/7q/1p1p4/7P/8/PPPPPPPR/RNBQKBN1 w Qkq - 6 6,0
rnbqkbnr/pp1p1pp1/4p3/2p4p/2P5/1Q1P4/PP2PPPP/RNB1KBNR w KQkq - 0 4,0
r1bqkbnr/pppp1ppp/n7/4p3/PP5P/8/2PPPPP1/RNBQKBNR b KQkq - 0 3,1
1nbqkb1r/rp1pp1p1/7n/p1p2p1p/1N3P1P/P7/1PPPP1P1/R1BQKBNR w KQk - 0 7,0
rn1qkb1r/pp2pp1p/2p4n/3pNbp1/3P4/4B3/PPP1PPPP/RN1QKB1R w Qkq - 0 7,0
rnb1k1nr/1pqpppbp/p5p1/2p5/1P1P1P2/N5P1/P1P1P2P/R1BQKBNR w KQkq - 0 6,0
r1bqk2r/p1pp1p1p/1pn1pn1b/6P1/1PP4P/N7/P2PP1P1/R1BQKBNR w KQkq - 3 7,1
r1bqkbnr/pp1pppp1/2n4p/2p5/4P3/N4P2/PPPPK1PP/R1BQ1BNR b kq - 0 4,1
r2qkbnr/pbppp1pp/1p6/5p2/1n4P1/3PPN2/PBP2P1P/RN1QKB1R b KQkq - 0 6,1
rnbqkbnr/pppppp2/8/6pp/2P3Q1/4P3/PP1P1PPP/RNB1KBNR b KQkq - 0 3,1
2rqkbnr/pb1ppppp/n7/1pp5/1P4PP/8/P1PPPPB1/RNBQK1NR b KQk - 1 6,1
rnbqkb1r/pp1ppppp/7n/2p5/P7/4P3/1PPPBPPP/RNBQK1NR b KQkq - 2 3,0
rnbqkbnr/p2pp2p/1pp5/5pp1/5N2/3P2B1/PPP1PPPP/RN1QKB1R b KQkq - 1 5,1
1rbqkbnr/pp1pp1pp/2n2p2/P4P2/2p5/2N5/1PPPP1PP/R1BQKBNR w KQk - 0 6,1
rnbqkbnr/ppp1ppp1/8/3p3p/8/BP3PP1/P1PPP1BP/RN1QK1NR w KQkq - 0 6,0
rnbqkbn1/pppppppr/8/7Q/7P/4P3/PPPP1PP1/RNB1KBNR b KQq - 0 3,1
rnbqkbnr/p2p2pp/1p2p3/2p2p2/8/NP3NPP/P1PPPP2/R1BQKB1R b KQkq - 0 5,0
rnbqkb1r/ppppppp1/5n2/7p/P5P1/5N2/1PPPPP1P/RNBQKB1R b KQkq - 0 3,1
rnbqkbnr/ppp1p1pp/3p1p2/8/1P6/2N2P2/P1PPP1PP/R1BQKBNR b KQkq - 0 3,0
rnbqkbnr/ppp1p1p1/5p2/3p3p/4P1Q1/7P/PPPP1PP1/RNB1KBNR w KQkq - 0 4,1
rnb1kbnr/pppqpppp/3p4/5P2/8/2P5/PP1PP1PP/RNBQKBNR b KQkq - 0 3,1
r1b1kbnr/p1pp1pp1/2n1pq1p/1p6/P7/3P2PN/1PP1PP1P/RNBQKB1R w KQkq - 0 6,1
1rbqkb1r/ppppp2p/5np1/4np2/5B1P/N2P2P1/PPP1PPB1/R2QK1NR w KQk - 3 7,1
rnbqkbnr/ppp1p1p1/3p1p1p/4N3/6P1/1P6/P1PPPP1P/RNBQKB1R b KQkq - 0 4,1
rnbqk2r/pppp1ppn/3bp3/7p/3P1P2/1P4PP/P1P1P2R/RNBQKBN1 b Qkq - 0 6,0
rn1qkbnr/pbppp1pp/8/1p3p2/5N2/N7/PPPPPPPP/R1BQKBR1 b Qkq - 1 4,1
rnbqkbnr/1p1ppppp/p7/2p5/8/BPP5/P1QPPPPP/RN2KBNR b KQkq - 1 4,0
rnbqkb1r/pp1ppppp/8/2pn4/6P1/4PN2/PPPP1P1P/RNBQKB1R w KQkq - 3 4,0
1rbqkb1r/1pp1pppp/p1np1n2/8/2B5/N3PP2/PPPP2PP/R1BQK1NR b k - 5 6,1
r1b1kbnr/ppp2ppp/n2p4/3Qp3/4P3/2N1PP1P/PPP3P1/R1B1KBNR b KQkq - 1 6,1
rnbqk1nr/pppp1ppp/3bp2B/8/3P4/1P6/P1P1PPPP/RN1QKBNR b KQkq - 2 3,1
rn1qkb1r/p2ppppp/7n/1pp5/1P6/2NP1b2/P1P1PKPP/R1BQ1BNR w kq - 0 6,1
rnbqkbnr/ppppp1p1/5p2/7p/7P/1P4P1/P1PPPP2/RNBQKBNR b KQkq - 0 3,0
rnbqkbnr/pp1p2pp/4pp2/2p5/8/NP5P/P1PPPPP1/R1BQKBNR w KQkq - 0 4,0
rnbqkb1r/1p1ppp1p/pnp3p1/8/8/P4NPB/1PPPPP1P/RNBQK2R w KQkq - 4 7,0
r2qkbr1/1pp1pppp/p1n1bB2/3p4/6P1/NP3P2/P1PPP2P/R2QKBNR w KQq - 1 7,1
rnbqkbnr/p2pppp1/7p/1pp3N1/8/1P2P3/P1PP1PPP/RNBQKB1R w KQkq - 0 5,1
rnbqkbnr/p1p1p1pp/5p2/1p1p4/7P/2P4N/PP1PPPP1/RNBQKB1R b KQkq - 1 4,0
rnb1kbnr/1p1p2pp/1qp5/p3pp2/1P2PPQ1/B7/P1PP2PP/RN2KBNR w KQkq - 2 6,0
rnbqk1nr/pppp1p1p/3b2p1/4p3/P7/1PP5/3PPPPP/RNBQKBNR w KQkq - 1 4,0
rn1qkbnr/ppp1p1pp/B2p1p2/8/b3P3/5P2/PPPP2PP/RNBQ1KNR w kq - 4 5,1
r1bqkbnr/p1pp3p/n7/1pP1ppp1/3PP3/7P/PP3PP1/RNBQKBNR b KQkq - 0 6,1
rnb1kb1r/pppp1ppp/4pq1n/8/8/2P1PP2/PP1PN1PP/RNBQKB1R b KQkq - 0 4,0
rnb1kbnr/pp1ppp1p/8/2p3p1/8/N1P2P2/PqQPP1PP/1RB1KBNR w Kkq - 0 6,1
rnbqkbnr/ppp2ppp/3p4/4p3/3P3P/2N5/PPP1PPP1/R1BQKBNR b KQkq - 0 3,0
rnbqkb1r/p1ppppp1/1p3n1p/8/NP1P4/4P3/P1P2PPP/R1BQKBNR b KQkq - 2 6,0
rn1qkbnr/pbpppppp/8/1p6/5PP1/7P/PPPPP3/RNBQKBNR b KQkq - 0 3,1
r1bqkb1r/p1pppp1p/1p5n/2n3p1/4P3/N7/PPPP1PPP/R1BQKBNR b KQkq - 5 6,1
r1bqkb2/ppp1pp1r/2n2npp/3p3P/6P1/PP6/2PPPP1R/RNBQKBN1 w Qq - 0 7,1
rnbqkbnr/pp1p2pp/8/2p1pp2/Q7/2P2P1P/PP1PP1P1/RNBK1BNR b kq - 1 5,1
r1bqkbnr/pppnp1pp/5p2/3p4/7P/1PP2P2/P2PP1P1/RNBQKBNR b KQkq - 0 4,1
1rbqkb1r/pppp1ppp/B3pn2/8/7Q/1P2P3/P1PP1PPP/RNB1K1NR b KQk - 1 5,0
r1bqkbnr/pp1ppp1p/n5p1/2p5/6P1/2N5/PPPPPP1P/1RBQKBNR w Kkq - 0 4,0
rnbqkbn1/ppppp1p1/1r6/7p/1P3p2/2PP3P/PQ2PPP1/RNB1KBNR w KQq - 1 7,1
rnbqkbnr/1p1pp1pp/5p2/p1p5/2P5/NP6/P2PPPPP/R1BQKBNR w KQkq - 0 4,1
r1bqkbnr/ppp1pnpp/3p4/5p2/2P1P3/5P2/PP1PB1PP/RNBQK1NR w KQkq - 1 6,0
rnbqkbnr/pp1pp2p/2p5/5pp1/P7/2N5/1PPPPPPP/R1BQKBNR b KQkq - 0 4,0
r1bqkbnr/pp1pppp1/7p/2p1n3/2P3P1/5B1N/PP1PPP1P/RNBQK2R b KQkq - 1 5,1
rnbqkbnr/ppp3pp/5p2/3pp3/4P3/PPP5/3P1PPP/RNBQKBNR b KQkq - 0 4,1
rnbqkb1r/p1ppppp1/5n1p/1p6/P7/2NPP3/1PP2PPP/R1BQKBNR b KQkq - 0 4,0
r2qkbnr/pbpp1p1p/2n1p1p1/1p6/P5P1/2N5/RPPPPP1P/2BQKBNR w Kkq - 1 6,1
r1bqkbnr/pppp1p1p/2n1p3/1N4p1/8/1P6/PBPPPPPP/R2QKBNR b KQkq - 1 4,0
rnbqkbnr/p1ppp2p/8/1p3pp1/2P5/2N2P2/PP1PPKPP/1RBQ1BNR b kq - 1 5,0
rnbk1bnr/pp1ppp1p/1qp3p1/6N1/8/NP3P2/P1PPP1PP/R1BQKB1R b KQ - 4 5,0
r1bqkbr1/ppp1pp1p/n2p1n2/2P3p1/8/N2PP3/PP3PPP/R1BQKBNR w KQq - 2 6,0
rn1qkbnr/3ppppp/bpp5/p5B1/4P3/3P1P2/PPP3PP/RN1QKBNR w KQkq - 0 5,0
rnbqkb1r/p2ppppp/8/1pp5/3P2n1/P5PB/1PP1PP1P/RNBQK1NR w KQkq - 0 5,1
rnbqkbnr/pp1ppp2/2p3pp/8/8/3PP3/PPP2PPP/RNBQKBNR b KQkq - 0 4,0
r1bqkb1r/pppppp2/5n1p/6p1/1P6/1P6/P1QPPPPP/RNB1KBNR w KQkq - 0 6,1
rnbqkbnr/pp1ppp1p/6p1/8/1p6/2N2P2/P1PPPKPP/R1BQ1BNR b kq - 1 4,1
r1bqkb1r/pppp1pp1/2n1p2n/7p/8/2N2P2/PPPPPKPP/R1B1QBNR w kq - 4 5,1
r1bqkb1r/pp1p1ppp/n6n/4p3/2p2P2/PP5N/R1PPP1PP/1NBQKB1R w Kkq - 0 6,0
r1bqkbnr/pp1pp1pp/n1p5/5p2/8/1P1P4/P1P1PPPP/RNBQKBNR b KQkq - 0 4,0
rnbqkb1r/p2ppppp/1pp2n2/P7/8/4PN2/1PPP1PPP/RNBQKB1R b KQkq - 0 4,0
rnb1kbnr/pppp1p1p/4p1p1/6q1/5P1P/8/PPPPP1P1/RNBQKBNR b kq - 1 4,0
rnbqkbnr/1pppppp1/p7/8/7p/NQPP4/PP2PPPP/R1B1KBNR b KQkq - 1 4,0
rnbqkbnr/pp1ppp2/7p/2p1N1p1/8/4P3/PPPPBPPP/RNBQK2R b KQkq - 1 4,0
rnbqkb1r/pp1pppp1/5n1p/2p5/5P2/1P5N/P1PPP1PP/RNBQKB1R w KQkq - 2 4,0
r1bqkbnr/pp2ppp1/3p1n2/P1p2P1p/1P4P1/8/2PPP2P/RNBQKBNR b KQkq - 0 6,1
rnbqkb1r/pp1ppp1p/6p1/2p1P3/1QP3n1/8/PP1P1PPP/RNB1KBNR w KQkq - 0 6,1
r2qkb1r/ppp1ppp1/3p1n1p/4n3/P7/R3P1Pb/1PPPNP1P/1NBQKBR1 w kq - 4 7,1
r1bqkbnr/pppp2p1/2n4p/4pp2/7N/7P/PPPPPPP1/RNBQKBR1 w Qkq - 0 5,0
rnbqkb1r/p1p1pppp/1p1p4/6Pn/8/2N2N2/PPPPPP1P/1RBQKB1R b Kkq - 0 5,0
rnbqkbnr/2ppp1pp/5p2/pp6/3PP3/7N/PPPK1PPP/RNBQ1BR1 b kq - 1 6,0
rn1q1b1r/1ppkpppp/5n2/p2p4/4PPb1/P1P3P1/1P1P3P/RNBQKBNR w KQ - 1 7,0
rnbqkbnr/ppp1ppp1/3p3p/8/5P2/2P1P3/PP1P2PP/RNBQKBNR b KQkq - 0 3,0
rnbqkbnr/p1pp1pp1/4p2p/1p6/7P/N1P5/PP1PPPP1/R1BQKBNR w KQkq - 0 4,0
r1bnkbnr/pppp1pp1/4pq2/7p/P3P3/2N2NP1/1PPP1P1P/R1BQKB1R w KQkq - 1 6,1
rnbqkbnr/1pp1pp1p/3p2p1/p7/P5P1/5N2/1PPPPP1P/RNBQKB1R w KQkq - 0 4,0
rnbqkbnr/1pppp1pp/8/p4p2/8/N2P2P1/PPP1PP1P/R1BQKBNR b KQkq - 1 3,0
r1bqkbnr/p2ppppp/np6/2p5/3PP3/N4P2/PPP3PP/R1BQK1NR b KQkq - 0 5,1
rnbqkb1r/ppp1pp2/3p2pn/6Pp/7P/1P1P4/P1P1PP1R/RNBQKBN1 w Qkq - 3 7,1
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/4P1P1/PPPP3P/RNBQKBNR w KQkq - 0 4,0
rnbqkbnr/1ppppp1p/p4B2/8/3P4/1P6/P1P1PPPP/RN1QKBNR w KQkq - 0 5,1
rnbqkb1r/p1pp1pp1/5n1p/1p1Pp3/1P3B1P/8/P1P1PPP1/RN1QKBNR b KQkq - 0 5,1
rnbqkb1r/pppppppp/8/5n2/6P1/4P2P/PPPP1P2/RNBQKBNR b KQkq - 0 3,0
rnbqkbnr/1pp1pp1p/p2p4/6p1/6P1/1P2P3/P1PP1P1P/RNBQKBNR w KQkq - 0 4,0
r1bqk1nr/pppppp1p/n6b/6p1/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 4 4,1
rn1q1bnr/ppp1pkpp/5p2/3p4/8/2N1P2N/PPPP1PPP/R1BQKB1R b KQ - 0 5,1
r1bqkb1r/p1p1p1pp/1pnp3n/5p2/1P6/N1P4N/P2PPPPP/R1BQKB1R b KQkq - 3 6,0
rn1qkbnr/pbp1ppp1/Bp6/3p3Q/4PP2/6P1/PPPP3P/RNB1K1NR b KQkq - 0 5,1
rnbqk2r/ppppp2p/5n1b/5pp1/P2P4/1PP4P/4PPP1/RNBQKBNR w KQkq - 1 6,1
